State,Year,Labor Force Participation Rate (%),Unemployment_rate,Youth Unemployment Rate (%),Female Unemployment Rate (%),Employment in Agriculture (%),Employment in Services (%)
Jharkhand,2023,0.5295,8.929514468,0.137,0.0698,0.6484,0.1537
Karnataka,2020,0.3825,5.448155609,0.1448,0.1377,0.6278,0.4233
Andhra Pradesh,2018,0.6286,6.591422396,0.0764,0.0464,0.4396,0.5097
Karnataka,2018,0.5542,8.877881733,0.2197,0.1297,0.3566,0.5874
Dadra & Nagar Haveli and Daman & Diu,2020,0.4389,8.462028504,0.0616,0.096,0.3052,0.4937
Maharashtra,2019,0.6582,8.268288284,0.0894,0.1645,0.5769,0.1837
Ladakh,2019,0.5482,6.031611308,0.2306,0.1588,0.6066,0.5102
Uttar Pradesh,2021,0.5548,5.68355035,0.0525,0.168,0.188,0.3846
Dadra & Nagar Haveli and Daman & Diu,2022,0.3526,7.67457288,0.0815,0.0894,0.3038,0.1555
Tripura,2023,0.614,8.717503957,0.1426,0.0838,0.3197,0.399
Andaman & Nicobar Islands,2023,0.67,7.227051572,0.1754,0.1758,0.5229,0.4476
Chhattisgarh,2022,0.678,7.286450758,0.1146,0.1149,0.2801,0.4788
Madhya Pradesh,2018,0.301,6.119916375,0.1684,0.1831,0.4435,0.385
Bihar,2023,0.4745,8.077971733,0.082,0.1179,0.61,0.414
Uttar Pradesh,2023,0.4386,5.748174994,0.1778,0.0451,0.2444,0.5568
Manipur,2020,0.402,6.294716946,0.118,0.0496,0.4275,0.322
Assam,2018,0.3278,6.701745754,0.1758,0.0487,0.2615,0.3061
Dadra & Nagar Haveli and Daman & Diu,2018,0.4427,7.030441515,0.1721,0.0694,0.5095,0.1525
Goa,2019,0.5521,5.96963893,0.2017,0.1529,0.5694,0.5464
Sikkim,2018,0.6787,5.459347299,0.1445,0.1619,0.2693,0.178
Kerala,2018,0.4195,7.44248017,0.1321,0.1516,0.2277,0.2968
Gujarat,2023,0.4395,6.154522213,0.0628,0.0741,0.505,0.5486
Arunachal Pradesh,2021,0.5348,7.324952886,0.0638,0.1752,0.6321,0.5792
Bihar,2023,0.6215,5.617450861,0.0893,0.0427,0.3062,0.1981
Himachal Pradesh,2018,0.6257,6.924560407,0.1234,0.0783,0.4852,0.1399
